"PHONE","ZIP","MOUMO","MOUPMO","MOU3MO","MOUCH1M","MOUCH3M","CUM3MCH","CUSTMOS","LONGD","CALLW","LINES","VOICEM","CELL","CONVB","SEX","INCOME","SPORTS","NATURE","ARTS","HRS_TV","TRAVEL","EDUC","TARGET","TOTMOU","TOTCHNG","CUST_ID"
"214-455-3346","36785",55,444,678,-389,-234,-623,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1177,-623,703
"276-987-5678","45987",600,366,398,234,-32,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1364,202,704
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,705
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,706
"603-595-1865","21750",7543,16754,598,-9211,16156,6945,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,24895,6945,707
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,708
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,709
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,710
"415-987-0097","15563",53,9,29,44,-20,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,91,24,711
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,712
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,713
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,714
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,715
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,716
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,717
"603-595-8765","21750",4567,3534,144,1033,3390,4423,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,8245,4423,718
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,719
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,1172,-232,720
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,721
"415-987-1192","15563",5435,15,99,5420,-84,5336,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,5549,5336,722
"617-555-1135","10040",9,1200,1145,-1191,55,-1136,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","Masters",1,2354,-1136,723
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,724
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,725
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,726
"276-987-5678","45987",600,456,398,144,58,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1454,202,727
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,728
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,729
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,730
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,731
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,732
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,733
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,734
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,735
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,736
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,737
"276-987-3478","45987",88,20,50,68,-30,38,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,158,38,738
"415-987-1122","15563",500,800,944,-300,-144,-444,26,1,1,3,1,1,"Yes","M",25000,"C",0,"N",5,"None","PhD",1,2244,-444,739
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,740
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,741
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,742
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","Masters",0,1172,-232,743
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,744
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,745
"617-555-1135","10040",999,1200,1145,-201,55,-146,3,1,1,2,1,1,"No","M",80000,"A",0,"N",40,"Domestic","Bachelors",1,3344,-146,746
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,747
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,748
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,749
"276-987-5678","45987",60,456,398,-396,58,-338,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,914,-338,750
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,751
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,752
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,753
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,754
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,755
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,756
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,757
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,758
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,759
"214-455-2456","36785",33,90,60,-57,30,-27,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,183,-27,760
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,761
"415-987-1122","15563",10000,8000,944,2000,7056,9056,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",1,18944,9056,762
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,763
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,764
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,765
"214-455-2446","36785",6000,7899,630,-1899,7269,5370,36,0,0,2,1,0,"Yes","M",145000,"E",1,"N",40,"Domestic","High School",1,14529,5370,766
"276-987-7878","45987",7800,5000,24,2800,4976,7776,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,12824,7776,767
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,768
"617-555-1135","10040",9999,12456,1145,-2457,11311,8854,3,1,1,2,1,1,"No","M",80000,"A",0,"N",40,"Domestic","Bachelors",1,23600,8854,769
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,770
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,771
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,772
"276-987-5678","45987",6000,4563,398,1437,4165,5602,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,10961,5602,773
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,774
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,775
"603-595-1865","21750",12000,8000,598,4000,7402,11402,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,20598,11402,776
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,777
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,778
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,779
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,780
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,781
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,782
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,783
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,784
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,785
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,786
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,787
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,788
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","Masters",0,1172,-232,789
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,790
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,791
"617-555-1135","10040",999,1200,1145,-201,55,-146,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","PhD",1,3344,-146,792
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"Yes","M",80000,"C",0,"Y",50,"International","High School",1,8,4,793
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,794
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,795
"276-987-5678","45987",600,456,398,144,58,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1454,202,796
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,797
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,798
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,799
"415-987-8987","55166",1100,1000,56,100,944,1044,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,2156,1044,800
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,801
"276-987-3078","45987",14000,15000,66,-1000,14934,13934,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,29066,13934,802
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,803
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,804
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,805
"214-455-2456","36785",100,9000,60,-8900,8940,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,9160,40,806
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,807
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,808
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,809
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,810
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,811
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,1172,-232,812
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,813
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,814
"617-555-1135","10040",999,1200,1145,-201,55,-146,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","Masters",1,3344,-146,815
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,816
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,817
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,818
"276-987-5678","45987",600,456,398,144,58,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1454,202,819
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,820
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,821
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,822
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,823
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,824
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,825
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,826
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,827
"603-595-8711","21750",5000,7000,75,-2000,6925,4925,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,12075,4925,828
"214-455-2456","36785",100,190,60,-90,130,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,350,40,829
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,830
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,831
"617-555-1335","10040",5678,3457,2156,2221,1301,3522,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,11291,3522,832
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,321
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,322
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,323
"276-987-3478","45987",88,20,50,68,-30,38,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,158,38,324
"415-987-1122","15563",500,800,944,-300,-144,-444,26,1,1,3,1,1,"Yes","M",25000,"C",0,"N",5,"None","PhD",1,2244,-444,325
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,326
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,327
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,328
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","Masters",0,1172,-232,329
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,330
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,331
"617-555-1135","10040",999,1200,1145,-201,55,-146,3,1,1,2,1,1,"No","M",80000,"A",0,"N",40,"Domestic","Bachelors",1,3344,-146,332
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,333
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,334
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,335
"276-987-5678","45987",60,456,398,-396,58,-338,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,914,-338,336
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,337
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,338
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,339
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,340
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,341
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,342
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,343
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,344
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,345
"214-455-2456","36785",33,90,60,-57,30,-27,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,183,-27,346
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,347
"415-987-1122","15563",10000,8000,944,2000,7056,9056,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",1,18944,9056,348
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,349
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,350
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,351
"214-455-2446","36785",6000,7899,630,-1899,7269,5370,36,0,0,2,1,0,"Yes","M",145000,"E",1,"N",40,"Domestic","High School",1,14529,5370,352
"276-987-7878","45987",7800,5000,24,2800,4976,7776,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,12824,7776,353
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,354
"617-555-1135","10040",9999,12456,1145,-2457,11311,8854,3,1,1,2,1,1,"No","M",80000,"A",0,"N",40,"Domestic","Bachelors",1,23600,8854,355
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,356
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,357
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,358
"276-987-5678","45987",6000,4563,398,1437,4165,5602,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,10961,5602,359
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,360
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,361
"603-595-1865","21750",12000,8000,598,4000,7402,11402,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,20598,11402,362
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,363
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,364
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,365
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,366
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,367
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,368
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,369
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,370
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,371
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,372
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,373
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,374
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","Masters",0,1172,-232,375
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,376
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,377
